4024.3,616,1233,8,71594,179353,316,316,293,306,48.665,1516.17,293,144,457,828.344,206,54,62,1519, 13.763,1096,49.728,3,1,123.455,dense/batch5dense/test_19_0,0,0,
1944.32,127,255,7,21208,48735,295,295,264,286,66.933,1241.53,53,22,125,107.067,50,0,0,103, 1.339,163,59.474,3,1,74.508,dense/batch5dense/test_19_1,0,0,
600005,12333,24667,11,1997474,4612384,-1,371,338,360,1456.09,23553,1462,567,1894,525228,4443,8951,22587,45041, 808.146,21406,759.316,3,1,5453.78,dense/batch5dense/test_19_2,0,0,
600007,9310,18621,5,2988648,5484564,-1,303,286,297,726.014,98114.6,5627,520,1702,440162,13608,4149,5112,14350, 791.437,14073,4866.22,3,1,7786.13,dense/batch5dense/test_19_3,0,0,
600002,9034,18069,12,2346469,4723341,-1,325,305,315,1454.79,83771.9,5572,2505,7098,466157,6779,4150,7087,33410, 653.589,15912,1402.8,3,1,4068.85,dense/batch5dense/test_19_4,0,0,
95.928,13,26,9,1806,4841,293,293,284,293,0.708,52.243,14,8,20,4.512,15,1,1,0, 0.03,14,2.127,3,1,3.434,dense/batch5dense/test_19_5,0,0,
2798.21,264,529,6,43596,101055,299,299,274,289,17.184,764.898,111,35,145,1000.32,210,63,79,426, 5.898,341,46.069,3,1,125.278,dense/batch5dense/test_19_6,0,0,
600006,16211,32423,5,2885390,5858784,-1,322,293,315,1516.67,91932.4,2109,826,2842,426770,7590,8132,11724,48814, 1099.27,27044,1314.11,3,1,16795.8,dense/batch5dense/test_19_7,0,0,
427378,6317,12635,15,1204188,2366665,314,314,286,302,936.933,37046.9,3861,2091,5971,365393,5016,1334,1858,29285, 479.263,11432,1179.13,3,1,1959.33,dense/batch5dense/test_19_8,0,0,
13421.5,1061,2123,5,111057,266521,275,275,256,267,87.645,2620.9,598,243,716,7866.09,342,232,423,2139, 28.593,1744,63.569,3,1,401.197,dense/batch5dense/test_19_9,0,0,
