600003,60571,121143,10,14676146,28928125,-1,399,367,383,5039.22,107075,10332,3665,9462,211683,23454,15173,19105,176696, 3272.98,93878,6897.6,3,1,42170.6,dense/batch5dense/test_24_0,0,0,
600007,39186,78373,12,31618352,47793703,-1,463,425,445,2663.72,54471,3328,1804,5563,186249,6793,1091,1610,109102, 2064.25,56987,3840.05,3,1,27292.9,dense/batch5dense/test_24_1,0,0,
600005,16567,33135,22,2986115,5987195,-1,365,333,354,31623.1,106208,10425,5980,17204,400348,13010,6555,11667,82984, 1425.39,28122,2180.49,3,1,8177.82,dense/batch5dense/test_24_2,0,0,
600001,129279,258559,21,12359398,29054469,-1,419,370,401,30510.7,61867.1,6383,4830,12936,171500,8714,4578,9036,719461, 7461.93,244297,1142.29,3,1,9665.21,dense/batch5dense/test_24_3,0,0,
600005,112153,224307,13,21937991,42643376,-1,423,376,402,11032.6,46776.2,6544,3086,7943,130006,12335,5008,7570,500846, 6794.72,191350,2168.42,3,1,27582.1,dense/batch5dense/test_24_4,0,0,
600011,64399,128799,9,21605165,39515047,-1,375,346,360,4564,113338,9308,2612,7194,112649,17418,887,946,125007, 2894.98,90841,6524.43,3,1,47281.1,dense/batch5dense/test_24_5,0,0,
600001,31227,62455,33,4111796,9330306,-1,466,432,456,27008.7,170998,7587,3641,10585,300536,10091,5099,10152,188258, 2372.79,59460,985.703,3,1,9282.58,dense/batch5dense/test_24_6,0,0,
106.599,19,39,13,1584,4997,347,347,334,346,1.306,43.936,22,10,28,18.131,22,5,7,5, 0.073,27,2.233,3,1,4.086,dense/batch5dense/test_24_7,0,0,
226.511,21,43,11,2351,6628,344,344,321,341,3.984,158.157,21,11,56,9.472,13,1,1,3, 0.055,29,4.036,3,1,4.419,dense/batch5dense/test_24_8,0,0,
600004,55405,110811,11,11580821,23267018,-1,326,301,313,4579.2,131744,24275,4662,10790,239224,31753,10731,11267,185789, 5422.74,85296,5617.94,3,1,23781.8,dense/batch5dense/test_24_9,0,0,
340480,76743,153487,17,10730180,23516782,462,462,440,450,7123.44,33305.8,4161,2451,6476,14358,3295,2546,3268,275234, 3837.51,126786,725.868,3,1,40907.8,dense/batch5dense/test_24_10,0,0,
600008,36710,73421,9,9916199,17994630,-1,362,316,343,4190.45,62962,3256,1652,5178,377519,4967,6287,12516,116201, 1507.24,63367,1741.91,3,1,13284.1,dense/batch5dense/test_24_11,0,0,
26282.2,3884,7768,9,1016237,2152742,415,415,394,405,256.498,1562.21,496,117,273,3232.76,1207,81,96,6890, 117.742,5111,406.629,3,1,3648.92,dense/batch5dense/test_24_12,0,0,
600008,36081,72163,15,6398608,12652928,-1,390,356,377,4471.83,337340,12298,9271,30346,133336,6616,3371,6148,146077, 3750.24,65657,1734.9,3,1,8825.04,dense/batch5dense/test_24_13,0,0,
600001,125997,251995,28,20333987,43068584,-1,471,425,454,24631.2,113457,9530,5451,15310,74833.4,5947,1643,3262,1004607, 12414,248628,423.236,3,1,2195.5,dense/batch5dense/test_24_14,0,0,
5512.37,818,1636,8,135849,286242,315,315,294,304,56.483,1858.92,206,81,253,892.94,200,30,50,1469, 17.645,1268,96.45,3,1,376.468,dense/batch5dense/test_24_15,0,0,
600004,190033,380067,22,19714949,48009864,-1,403,363,387,36243.8,26378.7,8591,3676,8225,15482.4,7016,1275,1385,836280, 9291.17,348204,849.969,3,1,43603.5,dense/batch5dense/test_24_16,0,0,
2404.27,741,1483,2,98632,232935,369,369,352,363,41.563,50.552,36,8,19,37.126,55,9,9,912, 8.521,934,17.428,3,1,376.506,dense/batch5dense/test_24_17,0,0,
71914.7,15827,31654,10,3436645,7404362,386,386,358,373,921.932,1364.07,651,43,121,2340.5,1008,122,122,39049, 478.407,20435,189.05,3,1,10870.2,dense/batch5dense/test_24_18,0,0,
22719.7,5675,11351,14,547627,1533724,349,349,330,343,320.259,999.317,170,14,77,1632.28,852,13,13,13438, 136.023,7113,201.001,3,1,6174.05,dense/batch5dense/test_24_19,0,0,
600013,74841,149683,12,13655539,28489186,-1,368,331,355,12353.1,54090.9,11933,2114,5786,260261,22710,22383,36732,296617, 3980.59,124376,5915.84,3,1,28028,dense/batch5dense/test_24_20,0,0,
600003,98371,196743,16,26306448,56281445,-1,448,424,436,6231.16,8600.84,3462,331,720,47737,13497,1673,1673,314089, 5086.35,134484,3827.09,3,1,120239,dense/batch5dense/test_24_21,0,0,
447477,36629,73259,10,28276900,44589831,404,404,357,383,2674.35,7954.22,1643,326,934,91974,6112,423,955,65075, 1573.88,45834,3174,3,1,25395.3,dense/batch5dense/test_24_22,0,0,
600015,13514,27029,19,2324281,4530871,-1,410,385,399,1554.34,136608,8039,6010,17135,405964,4981,1395,1847,45730, 889.027,23717,1832.55,3,1,6312.26,dense/batch5dense/test_24_23,0,0,
600004,17585,35171,16,4856967,8415840,-1,360,328,348,2642.49,89792.5,5151,3028,8466,405908,10246,3338,6204,77148, 1422.86,31699,2360.98,3,1,13643.3,dense/batch5dense/test_24_24,0,0,
600038,25686,51373,11,7765239,14068511,-1,394,364,383,3546.69,161359,3106,1789,6023,253978,3323,1685,3306,106240, 2166.34,45110,2880.06,3,1,8996.41,dense/batch5dense/test_24_25,0,0,
324836,11255,22511,11,3945594,6697473,404,404,366,387,1584.99,39235.7,2316,1022,2638,182022,4997,1941,2686,34721, 828.65,18253,3378.94,3,1,15334.2,dense/batch5dense/test_24_26,0,0,
11603.2,1708,3417,8,157646,431924,400,400,363,385,207.318,1996.06,496,99,297,1667.17,225,17,37,3910, 51.039,2706,150.858,3,1,1047.57,dense/batch5dense/test_24_27,0,0,
45910.3,6521,13043,6,897091,2028710,413,413,387,408,714.166,1272.5,356,83,206,3991.96,978,171,227,12549, 281.888,9103,300.295,3,1,9193.11,dense/batch5dense/test_24_28,0,0,
600015,31002,62005,8,6490832,13091616,-1,384,356,375,3523.99,16417,2569,389,997,367552,7557,4094,8781,68896, 1642.41,43657,4806.71,3,1,37381,dense/batch5dense/test_24_29,0,0,
