158.923,59,118,6329,18398,266,266,255,262,2.883,22.887,21,6,12,5.512,13,0,0,61, 0.374,88,5.311,3,1,0.085,instancestest/test1
170.362,56,113,6889,18569,270,270,258,268,2.464,34.64,26,8,21,11.869,24,1,1,46, 0.369,74,6.585,3,1,0.075,instancestest/test2
1785.12,531,1063,115255,240140,291,291,281,286,22.877,98.036,71,3,9,84.93,110,5,5,559, 5.978,696,47.531,3,1,0.712,instancestest/test3
31.863,9,19,1215,3549,290,290,283,290,0.283,8.426,7,3,6,4.69,5,2,2,0, 0.018,9,1.456,3,1,0.011,instancestest/test4
32.667,12,24,933,3374,281,281,275,281,0.493,10.095,10,4,8,2.446,15,1,1,0, 0.026,13,1.458,3,1,0.018,instancestest/test5
7779.86,2275,4550,470627,1108554,324,324,306,314,99.294,251.585,142,16,40,293.973,151,25,25,2844, 25.522,3051,60.448,3,1,3.016,instancestest/test6
457.401,183,367,16725,48531,284,284,272,278,9.016,43.516,47,6,13,50.674,31,16,16,240, 1.764,271,6.15,3,1,0.274,instancestest/test7
22.435,5,10,705,2433,313,313,307,313,0.303,5.89,5,3,6,0.732,2,0,0,0, 0.012,5,1.062,3,1,0.011,instancestest/test8
35.966,12,25,1449,4416,276,276,269,275,0.411,6.808,7,3,6,2.579,12,1,1,0, 0.021,12,2.5,3,1,0.012,instancestest/test9
63.722,11,23,1107,3302,261,261,252,260,0.462,36.969,14,8,24,5.37,10,0,0,0, 0.028,11,2.279,3,1,0.019,instancestest/test10
859.708,74,148,43223,118233,266,266,255,262,22.302,31.989,32,6,12,15.441,23,0,0,296, 1.717,107,9.238,3,1,690.536,instancestest/test1
434.562,21,43,15386,42221,270,270,258,268,12.214,63.67,36,14,37,14.852,25,2,2,135, 0.879,29,6.693,3,1,358.002,instancestest/test2
5197.61,227,455,283696,661864,291,291,281,286,130.957,153.491,61,7,22,105.244,93,8,8,2218, 15.575,271,43.908,3,1,4370.66,instancestest/test3
92.34,9,18,3699,10054,290,290,283,290,1.94,9.66,8,3,6,8.618,8,3,3,19, 0.107,9,2.329,3,1,68.935,instancestest/test4
244.583,15,31,7787,26941,281,281,275,281,8.018,15.471,19,5,10,12.298,45,5,5,102, 0.536,17,3.221,3,1,206.531,instancestest/test5
10779.2,455,911,599951,1347400,324,324,306,314,198.793,419.117,210,31,78,564.142,184,17,17,2685, 27.278,637,94.305,3,1,9105.48,instancestest/test6
2442.36,171,343,103249,303749,284,284,272,278,74.039,65.687,67,6,13,100.019,64,29,29,933, 7.689,253,10.726,3,1,2074.29,instancestest/test7
59.778,5,10,2076,6786,313,313,307,313,1.551,9.189,9,4,9,0.746,4,0,0,13, 0.075,5,1.244,3,1,46.378,instancestest/test8
141.327,12,25,4802,14767,276,276,269,275,3.926,11.206,12,3,6,4.632,18,2,2,32, 0.191,12,3.322,3,1,108.037,instancestest/test9
170.798,8,17,4796,13765,261,261,252,260,5.02,54.206,15,10,32,8.638,12,1,3,27, 0.126,8,2.037,3,1,138.032,instancestest/test10
610.48,68,136,29260,84230,266,266,255,262,3.46,24.113,21,6,12,7.757,18,0,0,59, 0.497,100,6.046,3,1,434.329,instancestest/test1
735.778,50,101,37464,97750,270,270,258,268,2.746,37.587,25,9,23,6.682,15,1,1,31, 0.244,76,4.962,3,1,581.919,instancestest/test2
1456.39,120,240,68673,184685,291,291,281,286,6.473,62.019,28,4,13,50.193,47,1,1,97, 0.721,183,30.197,3,1,1042.47,instancestest/test3
89.372,9,18,3699,10054,290,290,283,290,0.402,10.749,7,3,6,0.854,3,0,0,0, 0.016,9,1.633,3,1,57.671,instancestest/test4
175.061,14,29,6195,20932,281,281,275,281,0.632,11.257,11,4,8,4.322,14,2,2,0, 0.033,16,1.875,3,1,133.277,instancestest/test5
2985.37,114,229,181575,366831,324,324,306,314,6.544,120.935,49,11,27,170.659,46,7,7,119, 1.78,161,56.097,3,1,2167.01,instancestest/test6
6656.2,608,1217,304943,865369,284,284,272,278,35.267,55.04,57,6,13,53.764,50,16,16,1020, 8.011,895,8.955,3,1,5217.75,instancestest/test7
47.053,5,11,1748,5642,313,313,307,313,0.224,6.22,5,3,6,0.692,2,0,0,0, 0.005,5,0.891,3,1,28.853,instancestest/test8
218.484,13,27,4464,13566,276,276,269,275,1.133,7.925,6,3,6,3.633,8,1,1,1, 0.028,14,4.716,3,1,133.172,instancestest/test9
151.338,9,19,5285,14662,261,261,252,260,0.474,33.547,10,5,15,0.724,5,0,0,0, 0.018,10,2.189,3,1,96.095,instancestest/test10
