57.806,12,24,4,1016,3343,279,279,271,277,0.839,30.257,15,7,17,1.889,9,1,1,4, 0.053,19,2.041,3,1,0.026,batch5dense/test1
294.423,110,221,4,8878,26876,261,261,256,258,5.785,15.055,18,1,2,20.878,75,0,0,74, 0.952,138,10.699,3,1,0.203,batch5dense/test2
37.138,3,6,3,347,1243,207,207,196,207,0.242,32.584,4,3,14,0,0,0,0,0, 0.006,3,0.298,3,1,0.004,batch5dense/test3
500041,73711,147423,5,15217787,31399201,-1,335,311,321,4735.2,27364.2,5623,1422,3382,195536,12835,4398,5181,204187, 3997.66,112279,2765.7,3,1,157.592,batch5dense/test4
6464.17,1357,2715,5,161944,424802,318,318,303,315,99.807,1808.27,220,84,229,228.531,167,18,18,2704, 27.873,2020,45.268,3,1,3.315,batch5dense/test5
1983.78,144,289,7,17494,44904,352,352,336,347,17.268,1332.31,179,110,277,56.605,92,5,5,153, 3.658,242,40.407,3,1,0.588,batch5dense/test6
500005,67671,135343,6,27173254,44775403,-1,305,277,289,4136.98,19521.2,3036,789,2006,51792.3,7417,616,832,151309, 7254.55,85632,5523.24,3,1,146.045,batch5dense/test7
8343.39,192,384,1,21850,51154,217,217,206,213,22.141,554.963,80,28,77,6965.88,99,114,187,238, 7.3,300,31.718,3,1,0.617,batch5dense/test8
11376.4,647,1295,8,111818,238673,283,283,262,270,72.902,2997.13,358,133,339,5011.38,400,61,94,952, 23.362,1029,198.018,3,1,2.459,batch5dense/test9
500003,44625,89251,10,6009785,13255996,-1,293,267,282,7509.29,71941.9,6087,3615,10081,261310,5747,8573,17224,150842, 2649.63,75926,1544,3,1,153.934,batch5dense/test10
396.05,12,25,5,7186,23256,279,279,271,277,12.639,74.205,30,15,36,29.106,27,9,11,94, 0.582,20,7.098,3,1,346.893,batch5dense/test1
1183.35,67,135,3,38065,102452,261,261,256,258,50.643,25.54,22,1,2,42.408,102,0,0,314, 4.014,89,23.689,3,1,960.953,batch5dense/test2
135.434,3,6,3,1017,3201,207,207,196,207,1.699,105.388,9,5,26,0,0,0,0,3, 0.033,3,0.857,3,1,88.309,batch5dense/test3
1.50001e+06,31062,62125,3,53685758,101039010,-1,335,311,321,24355.6,30405.1,5610,1255,2914,319010,10742,10111,12720,399703, 9271.25,49574,2443.42,3,1,1.32674e+06,batch5dense/test4
37569.5,492,985,7,840895,2279207,318,318,303,315,989.258,3501.01,238,102,304,3670.72,374,392,564,11650, 165.728,819,75.288,3,1,34754.8,batch5dense/test5
22523.4,351,703,6,522554,1355422,352,352,336,347,481.477,3309.55,587,225,536,3590.78,982,285,359,4383, 63.402,531,247.261,3,1,20807.6,batch5dense/test6
302942,4047,8095,6,12382769,21832424,306,306,277,289,4591.67,15431.8,1067,497,1492,35667.7,1156,183,333,48248, 1092.72,5965,725.365,3,1,251490,batch5dense/test7
4824.14,85,170,2,39459,98732,217,217,206,213,44.856,470.406,103,48,123,3177.86,73,117,254,465, 7.339,124,23.034,3,1,4075.66,batch5dense/test8
120008,728,1457,9,2383612,4812411,283,283,262,270,1987.74,13895.9,1236,596,1549,54063.7,2162,1509,2438,22832, 349.392,1125,499.514,3,1,109955,batch5dense/test9
1.50003e+06,896,1793,15,3097450,6954956,-1,289,267,282,18684,280445,7753,5481,19549,1.12633e+06,8818,7052,14289,63834, 918.041,1614,948.256,3,1,1.25638e+06,batch5dense/test10
865.172,63,127,3,25288,77371,279,279,271,277,4.844,52.422,25,11,25,14.966,24,8,8,58, 0.601,104,4.62,3,1,658.633,batch5dense/test1
761.703,62,125,3,30911,80734,261,261,256,258,3.497,15.42,14,1,2,13.314,45,0,0,38, 0.463,78,10.173,3,1,554.828,batch5dense/test2
55.212,3,7,3,961,3003,207,207,196,207,0.244,33.417,4,3,14,0,0,0,0,0, 0.005,3,0.293,3,1,16.115,batch5dense/test3
1.50003e+06,64744,129489,2,87417945,170480048,-1,335,311,321,4426.14,13849.1,3879,372,813,87524.4,6606,3525,4526,141903, 2573.18,104374,2120.23,3,1,1.15371e+06,batch5dense/test4
1707.87,54,109,5,74041,183705,318,318,303,315,4.147,185.291,38,17,45,162.075,39,7,12,61, 0.779,91,9.322,3,1,1222.11,batch5dense/test5
23735.1,1139,2279,4,1172192,2967107,352,352,336,347,70.486,620.293,294,69,164,500.13,644,98,105,1482, 19.787,1803,93.694,3,1,19586.7,batch5dense/test6
15571.8,909,1818,4,738288,1881500,306,306,277,289,50.732,469.081,133,27,76,260.955,188,9,9,1242, 11.683,1397,353.032,3,1,12101.8,batch5dense/test7
1837.42,117,234,1,46294,107686,217,217,206,213,7.069,108.427,46,14,35,806.32,52,67,115,143, 1.846,180,11.684,3,1,662.867,batch5dense/test8
27346.5,741,1483,4,1428087,2718270,283,283,262,270,52.997,1976.92,346,105,286,5608.46,645,348,403,1002, 21.822,1150,266.54,3,1,16628,batch5dense/test9
1.50002e+06,16082,32165,11,59166073,121751492,-1,291,267,282,4311.4,91339.2,3515,2160,7193,509215,5941,4081,7736,84247, 983.96,29164,878.622,3,1,847357,batch5dense/test10
