8470,71,142,30,128182,340910,11707,11707,11682,11704,10,1640,72,17,34,470,53,2,2,45,0,125,190,3,1,210,instances/lak503dmap-100agents-36.agents,0,0
6390,69,138,21,103695,283338,10109,10109,10089,10102,20,1090,48,18,36,640,40,8,8,57,0,90,120,3,1,110,instances/lak503dmap-100agents-37.agents,0,0
3850,40,80,22,55132,180429,11083,11083,11065,11082,10,610,33,14,28,140,38,1,1,11,0,53,70,3,1,90,instances/lak503dmap-100agents-38.agents,0,0
5.40E+06,63477,126955,32,154112985,360089833,-1,11408,11384,11402,18360,6440,353,32,64,13620,1812,3659,3659,123867,1270,93155,1460,3,1,208240,instances/lak503dmap-100agents-39.agents,0,0
5.40E+06,33476,66953,24,367152402,471511168,-1,11993,11962,11989,8910,11720,470,84,168,27130,481,98,98,48850,380,46694,2000,3,1,70130,instances/lak503dmap-100agents-4.agents,0,0
5.40E+06,33878,67757,10,15279471,57797696,-1,13575,13551,13575,12940,278870,27379,17,34,2.11E+06,33737,33720,33720,0,3360,55505,73770,3,1,66980,instances/lak503dmap-100agents-40.agents,0,0
764370,8592,17185,12,23045261,42408701,11556,11556,11542,11554,2810,990,299,8,16,3710,1507,2214,2214,9899,110,13869,450,3,1,19590,instances/lak503dmap-100agents-41.agents,0,0
5.40E+06,42102,84205,30,40919025,122607392,-1,12878,12853,12878,10950,1520,68,16,32,1.89E+06,37893,34014,34014,8449,520,46342,68060,3,1,157650,instances/lak503dmap-100agents-42.agents,0,0
5.40E+06,49788,99577,26,151201604,317550260,-1,12632,12607,12629,16070,3120,128,21,42,8370,238,1311,1311,166478,1330,80856,680,3,1,88130,instances/lak503dmap-100agents-43.agents,0,0
5.40E+06,65166,130333,17,158470299,353560837,-1,11506,11466,11489,17680,2750,112,30,60,940,62,3,3,74974,590,88835,590,3,1,85850,instances/lak503dmap-100agents-44.agents,0,0
2.03E+06,25492,50984,15,43218197,98113917,11181,11181,11164,11176,7880,8470,910,37,74,23710,1805,3631,3631,54368,460,38040,2700,3,1,46300,instances/lak503dmap-100agents-45.agents,0,0
35610,353,706,24,1161706,2607515,11334,11334,11317,11333,130,1250,49,10,20,1170,32,14,14,424,0,584,210,3,1,580,instances/lak503dmap-100agents-46.agents,0,0
5.40E+06,77519,155039,17,83826701,275317074,-1,10797,10770,10793,20600,5410,237,55,110,188270,60035,245,245,31884,2040,92304,148760,3,1,124480,instances/lak503dmap-100agents-47.agents,0,0
16470,162,324,30,415704,990625,12175,12175,12154,12171,60,1650,57,13,26,960,52,5,5,185,0,271,310,3,1,240,instances/lak503dmap-100agents-48.agents,0,0
2.30E+06,25452,50904,30,50443587,119363086,11024,11024,10993,11010,5970,1360,56,20,40,3980,52,2,2,21554,140,29595,410,3,1,25780,instances/lak503dmap-100agents-49.agents,0,0
8480,100,200,17,140002,370246,10087,10087,10071,10085,30,540,46,10,20,1130,21,5,5,106,0,172,90,3,1,110,instances/lak503dmap-100agents-5.agents,0,0
5.40E+06,31437,62875,16,92305818,195283385,-1,11942,11919,11937,7860,23860,1685,16,32,2.14E+06,68774,3169,3169,24,2610,34765,247710,3,1,102840,instances/lak503dmap-100agents-6.agents,0,0
4140,41,82,19,80720,224515,11074,11074,11059,11073,0,710,38,10,20,270,30,2,2,11,0,61,140,3,1,50,instances/lak503dmap-100agents-7.agents,0,0
5.40E+06,53748,107497,22,81807909,262448610,-1,12356,12339,12355,15210,2130,79,19,38,212330,50391,744,744,4260,1360,58677,102980,3,1,181960,instances/lak503dmap-100agents-8.agents,0,0
14250,62,124,15,66894,241733,12044,12044,12033,12044,30,190,12,4,8,10000,62,42,42,0,0,63,280,3,1,70,instances/lak503dmap-100agents-9.agents,0,0
