132.643,15,30,2831,8873,235,235,228,233,4.383,13.504,16,6,14,35.698,11,10,16,4,0.098,26,1.23,3,1,63.791,instancestest/test1
10644.6,982,1965,878895,1639828,257,257,238,246,165.064,135.426,52,5,10,54.677,36,2,2,1053,15.36,1089,66.693,3,1,6483.2,instancestest/test2
295.109,32,64,12196,40030,257,257,253,255,9.37,8.481,13,1,2,1.834,11,0,0,12,0.087,41,2.3,3,1,226.809,instancestest/test3
2423.13,146,292,90920,286614,299,299,287,295,83.032,76.011,63,28,59,19.354,45,3,3,159,1.233,232,6.837,3,1,2051.86,instancestest/test4
300014,17234,34469,19948694,44107458,-1,327,303,315,5454.93,1704.35,349,96,347,453.113,441,31,31,19124,279.895,19897,201.756,3,1,235931,instancestest/test5
1040.9,77,155,79304,142961,333,333,323,330,13.469,93.079,25,14,35,8.152,7,0,0,64,0.682,98,24.117,3,1,614.409,instancestest/test6
36812.9,3114,6229,2458730,5216110,297,297,278,284,752.326,98.602,59,7,14,87.723,55,28,28,3372,37.397,3792,45.267,3,1,26303.7,instancestest/test7
132118,10719,21439,10109654,20941110,306,306,293,295,1997.57,350.912,208,3,6,882.339,1127,1,1,11104,213.926,12577,197.703,3,1,86392.8,instancestest/test8
168.978,11,22,6621,18357,315,315,306,315,3.393,29.693,8,5,13,0.445,4,0,0,0,0.013,11,2.411,3,1,110.139,instancestest/test9
127.734,9,19,4057,13203,271,271,264,270,4.795,11.324,13,7,15,1.633,7,1,1,6,0.034,13,1.115,3,1,99.6,instancestest/test10
37435.2,1566,3133,2368824,4983026,258,258,230,249,1408.47,2875.68,171,93,409,174.956,118,50,62,3590,30.383,2433,31.069,3,1,30329.1,instancestest/test1
3660.48,253,507,144323,397674,221,221,214,216,113.799,405.309,118,62,144,70.301,153,11,13,236,2.838,363,24.62,3,1,2698.74,instancestest/test2
89437,4877,9754,4603729,11429499,270,270,256,264,2797.45,2703.48,814,336,791,2055.88,822,220,281,9393,99.57,8549,215.398,3,1,74573.4,instancestest/test3
3897.09,277,555,165563,509680,314,314,306,311,124.306,55.607,91,7,15,92.077,211,43,44,306,2.832,384,12.723,3,1,3224.11,instancestest/test4
88.96,8,17,3257,10720,291,291,287,291,2.313,18.134,5,3,7,0.955,5,0,0,0,0.006,9,1.151,3,1,55.378,instancestest/test5
300008,5927,11855,13345799,34873243,-1,323,299,314,27936.4,1149.88,490,112,301,3193.9,912,715,1592,23022,160.015,10975,53.293,3,1,281853,instancestest/test6
148512,4687,9375,8164414,19897844,286,286,265,277,4515.1,1470.59,674,157,446,1999.1,1598,130,193,12917,139.876,7587,212.822,3,1,133827,instancestest/test7
17749.9,437,875,824391,1876041,279,279,253,270,663.596,3381.8,306,199,778,335.688,125,51,59,796,8.187,741,78.903,3,1,12873.6,instancestest/test8
3072.73,91,183,110238,305373,331,331,312,324,96.448,682.384,43,15,70,75.34,82,18,25,158,1.088,147,17.893,3,1,2078.88,instancestest/test9
90107.2,4171,8343,4567036,11308651,269,269,254,263,3202.58,1747.44,847,184,420,1731.65,1062,273,375,9862,100.23,7362,135.201,3,1,78443.2,instancestest/test10
